Epoch,Train_accuracy,Train_f1,Train_precision,Train_recall,Train_roc_auc,Val_accuracy,Val_f1,Val_precision,Val_recall,Val_roc_auc
1,0.6518987341772152,0.5358649789029535,0.5501599849425935,0.5380804953560372,0.6230054774946415,0.6153846153846154,0.5112781954887218,0.5113636363636364,0.5120689655172413,0.6827586206896551
2,0.8481012658227848,0.8135693215339234,0.8254647313470843,0.8043819957132651,0.9120743034055728,0.6666666666666666,0.5477252453166817,0.55,0.5465517241379311,0.710344827586207
3,0.9145569620253164,0.8993001050432565,0.8959464519752856,0.9029054536794475,0.9526077637532746,0.9487179487179487,0.9277777777777778,0.967741935483871,0.9,0.9931034482758622
4,0.9335443037974683,0.9212166542009473,0.9199810606060606,0.9224815432245772,0.978899738032865,0.8717948717948718,0.7936507936507936,0.9264705882352942,0.75,0.9689655172413794
5,0.9272151898734177,0.9137134784105614,0.9125,0.9149559418909263,0.9714217670874018,0.8974358974358975,0.8427419354838709,0.9393939393939394,0.8,0.9896551724137931
6,0.9683544303797469,0.9623719933317456,0.9623719933317456,0.9623719933317456,0.9897118361514646,0.9487179487179487,0.9277777777777778,0.967741935483871,0.9,0.9551724137931035
7,0.939873417721519,0.9278495463558252,0.9319681677018633,0.9240057156465825,0.9806620623958086,0.9487179487179487,0.9327586206896552,0.9327586206896552,0.9327586206896552,0.996551724137931
8,0.9778481012658228,0.9737388847336491,0.9723484848484849,0.9751607525601333,0.9945701357466064,0.9487179487179487,0.9327586206896552,0.9327586206896552,0.9327586206896552,0.9931034482758622
9,0.9462025316455697,0.9358390961099765,0.9371765382403681,0.9345320314360562,0.9790902595856157,0.9487179487179487,0.9327586206896552,0.9327586206896552,0.9327586206896552,0.9689655172413792
10,0.9430379746835443,0.9318573893041977,0.9345677226481508,0.9292688735413194,0.9796141938556799,0.9487179487179487,0.9327586206896552,0.9327586206896552,0.9327586206896552,0.9827586206896551
