Epoch,Train_accuracy,Train_f1,Train_precision,Train_recall,Train_roc_auc,Val_accuracy,Val_f1,Val_precision,Val_recall,Val_roc_auc
1,0.5917721518987342,0.5070560493379285,0.5073254670599803,0.5070969278399619,0.5535127411288402,0.717948717948718,0.5460317460317461,0.5823529411764705,0.5482758620689655,0.7241379310344828
2,0.8069620253164557,0.7536518971973366,0.7801541210632119,0.7389616575375089,0.8903072160038106,0.6923076923076923,0.47767857142857145,0.49642857142857144,0.4982758620689655,0.7241379310344828
3,0.8734177215189873,0.8446411012782694,0.8576521517697988,0.8344844010478685,0.9331745653727078,0.8974358974358975,0.8655172413793104,0.8655172413793104,0.8655172413793104,0.8931034482758621
4,0.930379746835443,0.916714586927353,0.9193307295433724,0.9142176708740177,0.9759942843534175,0.8461538461538461,0.7833333333333332,0.810483870967742,0.7655172413793103,0.9448275862068966
5,0.9525316455696202,0.943387437744097,0.9447479394287905,0.942057632769707,0.9760419147416052,0.8717948717948718,0.837092731829574,0.827922077922078,0.8482758620689655,0.9482758620689655
6,0.9715189873417721,0.966032462646458,0.967462142994058,0.9646344367706596,0.9939985710883543,0.8974358974358975,0.8655172413793104,0.8655172413793104,0.8655172413793104,0.9275862068965519
7,0.9525316455696202,0.9437261815721052,0.9424242424242424,0.9450583472255298,0.9847582757799477,0.9230769230769231,0.8956289027653881,0.9111111111111111,0.8827586206896552,0.9586206896551724
8,0.9810126582278481,0.9774231959990474,0.9774231959990474,0.9774231959990474,0.9959990473922362,0.9230769230769231,0.9022556390977444,0.8912337662337663,0.9155172413793103,0.9551724137931035
9,0.9525316455696202,0.943387437744097,0.9447479394287905,0.942057632769707,0.9838532984043821,0.9487179487179487,0.9366883116883117,0.9166666666666667,0.9655172413793103,0.9689655172413794
10,0.9493670886075949,0.9394287904926202,0.94218621920054,0.9367944748749703,0.9860919266492022,0.9487179487179487,0.9366883116883117,0.9166666666666667,0.9655172413793103,0.9689655172413794
