Epoch,Train_accuracy,Train_f1,Train_precision,Train_recall,Train_roc_auc,Val_accuracy,Val_f1,Val_precision,Val_recall,Val_roc_auc
1,0.680379746835443,0.8076190476190476,0.6973684210526315,0.9592760180995475,0.5144558228149559,0.6666666666666666,0.8,0.6666666666666666,1.0,0.7573964497041421
2,0.689873417721519,0.8143939393939394,0.7003257328990228,0.9728506787330317,0.465158371040724,0.6666666666666666,0.8,0.6666666666666666,1.0,0.6301775147928994
3,0.6993670886075949,0.8230912476722533,0.6993670886075949,1.0,0.44677304120028577,0.6666666666666666,0.8,0.6666666666666666,1.0,0.3846153846153846
4,0.6993670886075949,0.8230912476722533,0.6993670886075949,1.0,0.46544415336985,0.6666666666666666,0.8,0.6666666666666666,1.0,0.3520710059171598
5,0.6993670886075949,0.8230912476722533,0.6993670886075949,1.0,0.4883067396999285,0.6666666666666666,0.8,0.6666666666666666,1.0,0.4674556213017751
6,0.6993670886075949,0.8230912476722533,0.6993670886075949,1.0,0.46358656823053107,0.6666666666666666,0.8,0.6666666666666666,1.0,0.3491124260355029
7,0.6993670886075949,0.8230912476722533,0.6993670886075949,1.0,0.44863062633960465,0.6666666666666666,0.8,0.6666666666666666,1.0,0.5414201183431953
8,0.6993670886075949,0.8230912476722533,0.6993670886075949,1.0,0.4903072160038104,0.6666666666666666,0.8,0.6666666666666666,1.0,0.4467455621301776
9,0.6993670886075949,0.8230912476722533,0.6993670886075949,1.0,0.4789235532269588,0.6666666666666666,0.8,0.6666666666666666,1.0,0.514792899408284
10,0.6993670886075949,0.8230912476722533,0.6993670886075949,1.0,0.4489640390569183,0.6666666666666666,0.8,0.6666666666666666,1.0,0.5443786982248521
